Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime,Opening_YM
 DT7 ,Sixth Avenue,第六道,சிக்ஸ்த் அவென்யூ,27 December 2015,Sixth Avenue,SAV,Bukit Timah,,1.3311776000000002,103.7972016,2015-12-01T00:00:00Z,2015-12
 DT8 ,Tan Kah Kee,陈嘉庚,டான் கா கீ,27 December 2015,Duchess,TKK,Bukit Timah,,1.3257996,103.8079556,2015-12-01T00:00:00Z,2015-12
 DT10  TE11 ,Stevens,史蒂芬,ஸ்டீவன்ஸ்,27 December 2015,Stevens,STV,Tanglin,,1.3199584,103.8259427,2015-12-01T00:00:00Z,2015-12
 DT13 ,Rochor,梧槽,ரோச்சோர்,27 December 2015,Rochor,RCR,Rochor,,1.3035362,103.85255959999999,2015-12-01T00:00:00Z,2015-12
 DT17 ,Downtown,市中心,டௌன்டவுன்,22 December 2013,Landmark,DTN,Downtown Core,,1.2794576000000002,103.85281280000001,2013-12-01T00:00:00Z,2013-12
 DT18 ,Telok Ayer,直落亚逸,தெலுக் ஆயர்,22 December 2013,Cross Street,TLA,"Downtown Core, Outram",,1.2822209999999998,103.8485947,2013-12-01T00:00:00Z,2013-12
 DT20 ,Fort Canning,福康宁,ஃபோர்ட் கெனிங்,21 October 2017,River Valley,FCN,"Museum Planning Area, Singapore River Planning Area",,1.2921101000000002,103.844762,2017-10-01T00:00:00Z,2017-10
 DT21 ,Bencoolen,明古连,பென்கூலன்,21 October 2017,Bencoolen,BCL,"Museum Planning Area, Rochor",,1.2990136,103.8505193,2017-10-01T00:00:00Z,2017-10
 DT22 ,Jalan Besar,惹兰勿刹,ஜாலான் புசார்,21 October 2017,Sungei Road,JLB,Rochor,,1.3055083,103.85543249999999,2017-10-01T00:00:00Z,2017-10
 DT23 ,Bendemeer,明地迷亚,பெண்டிமியர்,21 October 2017,Jalan Besar,BDM,Kallang,,1.3200375,103.861623,2017-10-01T00:00:00Z,2017-10
 DT24 ,Geylang Bahru,芽笼峇鲁,கேலாங் பாரு,21 October 2017,Kallang Bahru,GLB,Kallang,,1.3213087,103.8713815,2017-10-01T00:00:00Z,2017-10
 DT25 ,Mattar,玛达,மாத்தார்,21 October 2017,Mattar,MTR,Geylang,,1.3272214,103.8828949,2017-10-01T00:00:00Z,2017-10
 DT27 ,Ubi,乌美,உபி,21 October 2017,Ubi,UBI,Geylang,,1.3298687,103.900048,2017-10-01T00:00:00Z,2017-10
 DT28 ,Kaki Bukit,加基武吉,காக்கி புக்கிட்,21 October 2017,Kaki Bukit,KKB,Bedok,,1.334927,103.90901600000001,2017-10-01T00:00:00Z,2017-10
 DT29 ,Bedok North,勿洛北,பிடோக் நார்த்,21 October 2017,Bedok Town Park,BDN,Bedok,,1.3351391000000001,103.918397,2017-10-01T00:00:00Z,2017-10
 DT30 ,Bedok Reservoir,勿洛蓄水池,பிடோக் ரெசவோர்,21 October 2017,Bedok Reservoir,BDR,Bedok,,1.3366806999999998,103.93266990000001,2017-10-01T00:00:00Z,2017-10
 DT31 ,Tampines West,淡滨尼西,தெம்பினிஸ் வெஸ்ட்,21 October 2017,Tampines West,TPW,Tampines,,1.3495907,103.95678790000001,2017-10-01T00:00:00Z,2017-10
 DT33 ,Tampines East,淡滨尼东,தெம்பினிஸ் ஈஸ்ட்,21 October 2017,Tampines East,TPE,Tampines,,1.3495907,103.95678790000001,2017-10-01T00:00:00Z,2017-10
 DT34 ,Upper Changi,樟宜上段,அப்பர் சாங்கி,21 October 2017,Upper Changi,UPC,Tampines,,1.3421646999999999,103.961505,2017-10-01T00:00:00Z,2017-10
